# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %   MB/s   MB/s 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      1 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0     38     40 
    0     78     33     31      0      0      0      0      0      0      0      0 
    0     82     33     31      0      0      0      0      0      0     30     31 
    0     78     33     31      0      0      0      0      0      0      0      0 
    0     57     33     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      5      1 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      1 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      1      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %   MB/s   MB/s 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
