Path	Type	Full Address	Device Offset	Mode	Bit Offset	Bit Size	Enum	Description
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x10000	0x0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[1]	<class 'pyrogue._Variable.RemoteVariable'>	0x10004	0x4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[2]	<class 'pyrogue._Variable.RemoteVariable'>	0x10008	0x8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[3]	<class 'pyrogue._Variable.RemoteVariable'>	0x1000c	0xc	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[4]	<class 'pyrogue._Variable.RemoteVariable'>	0x10010	0x10	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[5]	<class 'pyrogue._Variable.RemoteVariable'>	0x10014	0x14	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[6]	<class 'pyrogue._Variable.RemoteVariable'>	0x10018	0x18	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[7]	<class 'pyrogue._Variable.RemoteVariable'>	0x1001c	0x1c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[8]	<class 'pyrogue._Variable.RemoteVariable'>	0x10020	0x20	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[9]	<class 'pyrogue._Variable.RemoteVariable'>	0x10024	0x24	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[10]	<class 'pyrogue._Variable.RemoteVariable'>	0x10028	0x28	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[11]	<class 'pyrogue._Variable.RemoteVariable'>	0x1002c	0x2c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[12]	<class 'pyrogue._Variable.RemoteVariable'>	0x10030	0x30	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[13]	<class 'pyrogue._Variable.RemoteVariable'>	0x10034	0x34	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[14]	<class 'pyrogue._Variable.RemoteVariable'>	0x10038	0x38	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[15]	<class 'pyrogue._Variable.RemoteVariable'>	0x1003c	0x3c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[16]	<class 'pyrogue._Variable.RemoteVariable'>	0x10040	0x40	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[17]	<class 'pyrogue._Variable.RemoteVariable'>	0x10044	0x44	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[18]	<class 'pyrogue._Variable.RemoteVariable'>	0x10048	0x48	RO	[0]	[32]	None	PCIe Configuration Space Header
