
Group,Connection Name,Circuit ID,Direction,Band,Conn - Half,IN Power,Out Power,Loss,Alarm,AS,OS,OC,RS,PS
SYSTEM,="1.1.7-5.1.2",="1.1.7-5.1.2",BI,OBAND,1.1.7>5.1.2,-4.00,-5.33,1.33,CL,IS,IS,OK,NC,NC
SYSTEM,="1.1.7-5.1.2",="1.1.7-5.1.2",BI,OBAND,5.1.2>1.1.7,-1.62,-2.43,0.81,CL,IS,IS,OK,NC,NC
SYSTEM,="RIX_FIM_MR4K2-DRP-SRCF-CMP004-QSFP1_1",="1.1.8-5.2.4",BI,OBAND,1.1.8>5.2.4,-7.34,-8.61,1.27,CL,UMA,RDY,OK,NC,NC
SYSTEM,="RIX_FIM_MR4K2-DRP-SRCF-CMP004-QSFP1_1",="1.1.8-5.2.4",BI,OBAND,5.2.4>1.1.8,-1.00,-2.07,1.07,CL,UMA,RDY,OK,NC,NC
SYSTEM,="1.2.1-4.8.2",="1.2.1-4.8.2",BI,OBAND,1.2.1>4.8.2,-3.44,-4.88,1.44,CL,IS,IS,OK,NC,NC
SYSTEM,="1.2.1-4.8.2",="1.2.1-4.8.2",BI,OBAND,4.8.2>1.2.1,3.88,2.58,1.30,CL,IS,IS,OK,NC,NC
SYSTEM,="1.2.2-4.8.1",="1.2.2-4.8.1",BI,OBAND,1.2.2>4.8.1,3.59,2.23,1.35,CL,IS,IS,OK,NC,NC
SYSTEM,="1.2.2-4.8.1",="1.2.2-4.8.1",BI,OBAND,4.8.1>1.2.2,4.63,2.99,1.63,CL,IS,IS,OK,NC,NC
SYSTEM,="TMO_WAVE8_IP2-DRP-SRCF-CMP051-QSFP1_3",="1.2.4-4.2.8",BI,OBAND,1.2.4>4.2.8,-6.13,-7.32,1.19,CL,UMA,RDY,OK,NC,NC
SYSTEM,="TMO_WAVE8_IP2-DRP-SRCF-CMP051-QSFP1_3",="1.2.4-4.2.8",BI,OBAND,4.2.8>1.2.4,-2.05,-3.36,1.31,CL,UMA,RDY,OK,NC,NC
SYSTEM,="1.2.5-5.6.5",="1.2.5-5.6.5",BI,OBAND,1.2.5>5.6.5,-4.59,-6.05,1.46,CL,IS,IS,OK,NC,NC
SYSTEM,="1.2.5-5.6.5",="1.2.5-5.6.5",BI,OBAND,5.6.5>1.2.5,-2.37,-3.98,1.61,CL,IS,IS,OK,NC,NC
SYSTEM,="1.2.6-5.6.1",="1.2.6-5.6.1",BI,OBAND,1.2.6>5.6.1,-6.07,-7.52,1.45,CL,IS,IS,OK,NC,NC
SYSTEM,="1.2.6-5.6.1",="1.2.6-5.6.1",BI,OBAND,5.6.1>1.2.6,-4.09,-5.26,1.17,CL,IS,IS,OK,NC,NC
SYSTEM,="1.3.1-5.7.1",="1.3.1-5.7.1",BI,OBAND,1.3.1>5.7.1,4.49,2.66,1.83,CL,IS,IS,OK,NC,NC
SYSTEM,="1.3.1-5.7.1",="1.3.1-5.7.1",BI,OBAND,5.7.1>1.3.1,2.96,1.44,1.51,CL,IS,IS,OK,NC,NC
SYSTEM,="1.3.2-5.7.2",="1.3.2-5.7.2",BI,OBAND,1.3.2>5.7.2,4.24,2.64,1.60,CL,IS,IS,OK,NC,NC
SYSTEM,="1.3.2-5.7.2",="1.3.2-5.7.2",BI,OBAND,5.7.2>1.3.2,2.30,1.08,1.21,CL,IS,IS,OK,NC,NC
SYSTEM,="1.3.3-5.4.4",="1.3.3-5.4.4",BI,OBAND,1.3.3>5.4.4,-2.39,-4.23,1.84,CL,IS,IS,OK,NC,NC
